69002 [(-0.04129108041524887, 0.41910114884376526, -0.3016602694988251), (-0.21791400015354156, 0.38789311051368713, -0.5727115869522095), (-0.3163977861404419, 0.37233588099479675, -0.7185964584350586)]576.589599609375
69003 [(-0.040725577622652054, 0.417891263961792, -0.30244848132133484), (-0.21679306030273438, 0.38682377338409424, -0.5737711787223816), (-0.31525275111198425, 0.3714507818222046, -0.7197296023368835)]576.597900390625
69004 [(-0.04003680869936943, 0.41662222146987915, -0.3035230338573456), (-0.21578308939933777, 0.38579854369163513, -0.5750138759613037), (-0.313987672328949, 0.37056300044059753, -0.7211947441101074)]576.6062622070312
69005 [(-0.039186812937259674, 0.4153482913970947, -0.30467888712882996), (-0.21470436453819275, 0.38493743538856506, -0.5765339732170105), (-0.3126276731491089, 0.36963972449302673, -0.7226924896240234)]576.6145629882812
69006 [(-0.038441769778728485, 0.4139336347579956, -0.3057686686515808), (-0.21361859142780304, 0.3839721977710724, -0.577960729598999), (-0.3114340305328369, 0.3689180612564087, -0.7244583964347839)]576.623046875
69007 [(-0.03778461739420891, 0.41244766116142273, -0.30697935819625854), (-0.21241798996925354, 0.38341107964515686, -0.5801083445549011), (-0.3100440502166748, 0.3680576980113983, -0.7260830402374268)]576.6311645507812
69008 [(-0.03703223168849945, 0.4108768105506897, -0.30842387676239014), (-0.21163591742515564, 0.3822307884693146, -0.5809913277626038), (-0.3088383674621582, 0.3675410747528076, -0.7280042171478271)]576.6395263671875
69009 [(-0.03622245043516159, 0.40911948680877686, -0.3097897469997406), (-0.2104770541191101, 0.3815440833568573, -0.5828121900558472), (-0.30750834941864014, 0.3673623502254486, -0.7298729419708252)]576.64794921875
69218 [(-0.03618083894252777, 0.40861424803733826, -0.3097311556339264), (-0.210433691740036, 0.3812362849712372, -0.5827013850212097), (-0.30750834941864014, 0.3673623502254486, -0.7298729419708252)]578.3870849609375
69218 [(-0.03574000298976898, 0.40834835171699524, -0.30939576029777527), (-0.20993131399154663, 0.3813481032848358, -0.5829945206642151), (-0.30679237842559814, 0.367739200592041, -0.730404257774353)]578.388671875
69218 [(-0.03581797331571579, 0.40814173221588135, -0.30919384956359863), (-0.209914892911911, 0.381207138299942, -0.582763135433197), (-0.3069479465484619, 0.3676789700984955, -0.7307438850402832)]578.3893432617188
69218 [(-0.03586139529943466, 0.4077911376953125, -0.30912908911705017), (-0.2097795009613037, 0.3807919919490814, -0.5829863548278809), (-0.30546051263809204, 0.36786115169525146, -0.7296332120895386)]578.3899536132812
69218 [(-0.03586139529943466, 0.4077911376953125, -0.30912908911705017), (-0.2097795009613037, 0.3807919919490814, -0.5829863548278809), (-0.30546051263809204, 0.36786115169525146, -0.7296332120895386)]578.3905639648438
69218 [(-0.03603450953960419, 0.40777456760406494, -0.30938494205474854), (-0.20968399941921234, 0.38078784942626953, -0.5829442143440247), (-0.30612438917160034, 0.36806878447532654, -0.7301324009895325)]578.3910522460938
69218 [(-0.03603450953960419, 0.40777456760406494, -0.30938494205474854), (-0.20968399941921234, 0.38078784942626953, -0.5829442143440247), (-0.30612438917160034, 0.36806878447532654, -0.7301324009895325)]578.3916015625
69218 [(-0.03603450953960419, 0.40777456760406494, -0.30938494205474854), (-0.20968399941921234, 0.38078784942626953, -0.5829442143440247), (-0.30612438917160034, 0.36806878447532654, -0.7301324009895325)]578.3922119140625
69218 [(-0.03603450953960419, 0.40777456760406494, -0.30938494205474854), (-0.20968399941921234, 0.38078784942626953, -0.5829442143440247), (-0.30612438917160034, 0.36806878447532654, -0.7301324009895325)]578.3924560546875
69218 [(-0.03603450953960419, 0.40777456760406494, -0.30938494205474854), (-0.20968399941921234, 0.38078784942626953, -0.5829442143440247), (-0.30612438917160034, 0.36806878447532654, -0.7301324009895325)]578.3924560546875
